AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
30.7,35.8,74.0,1.7,False
30.8,35.7,74.0,1.3,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.3,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.4,74.0,1.6,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,34.9,75.0,0.9,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.7,35.3,75.0,1.0,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.0,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,34.9,73.0,1.0,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,34.9,74.0,0.3,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.5,35.0,74.0,1.1,False
30.6,35.0,74.0,1.6,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.0,36.9,75.0,0.9,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.8,75.0,0.7,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.2,36.3,74.0,1.1,False
31.2,36.4,75.0,1.1,False
31.1,36.0,74.0,1.0,False
31.0,35.7,75.0,1.1,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.8,35.8,75.0,1.5,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,75.0,1.4,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.3,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.6,35.8,74.0,1.1,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,73.0,1.3,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.2,False
30.8,35.7,74.0,1.3,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.3,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.4,74.0,1.6,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,34.9,75.0,0.9,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.7,35.3,75.0,1.0,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.1,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,34.9,74.0,0.3,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.5,35.0,74.0,1.1,False
30.6,35.0,74.0,1.6,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.0,36.9,75.0,0.9,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.8,75.0,0.7,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.2,36.3,74.0,1.1,False
31.2,36.4,75.0,1.1,False
31.1,36.0,74.0,1.0,False
31.0,35.7,75.0,1.1,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.8,35.8,75.0,1.5,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,75.0,1.4,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.3,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.7,35.8,74.0,1.4,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,74.0,1.0,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.2,False
30.8,35.5,74.0,1.1,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.6,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.5,74.0,1.2,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,35.0,75.0,1.0,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.6,35.2,74.0,0.9,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.1,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,35.0,74.0,1.0,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.6,35.0,74.0,1.4,False
30.6,35.0,74.0,1.6,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.0,36.9,75.0,0.9,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.8,75.0,0.7,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.2,36.3,74.0,1.1,False
31.2,36.4,75.0,1.1,False
31.1,36.0,74.0,1.0,False
31.0,35.7,75.0,1.1,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.8,35.8,75.0,1.5,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,75.0,1.4,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.3,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.7,35.8,74.0,1.4,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,74.0,1.0,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.2,False
30.8,35.5,74.0,1.1,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.6,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.5,74.0,1.2,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,35.0,75.0,1.0,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.6,35.2,74.0,0.9,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.1,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,35.0,74.0,1.0,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.6,35.0,74.0,1.4,False
30.6,35.0,74.0,1.6,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.0,36.9,75.0,0.9,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.8,75.0,0.7,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.1,36.3,75.0,1.8,False
31.2,36.4,75.0,1.1,False
31.1,36.0,74.0,1.0,False
31.1,35.9,74.0,1.4,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.9,36.1,75.0,1.0,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,74.0,1.3,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.4,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.7,35.8,74.0,1.4,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,74.0,1.0,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.7,False
30.8,35.7,74.0,1.3,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.6,False
30.8,35.2,74.0,1.3,False
30.8,35.3,74.0,1.5,False
30.8,35.5,74.0,1.2,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,35.0,75.0,1.0,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.6,35.2,74.0,0.9,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.1,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,35.0,74.0,1.0,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.6,35.0,74.0,1.4,False
30.6,35.0,74.0,1.6,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.0,36.9,75.0,0.9,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.8,75.0,0.7,False
31.1,36.8,74.0,1.1,False
31.1,36.3,74.0,1.1,False
31.2,36.3,74.0,1.1,False
31.1,36.5,74.0,1.1,False
31.1,36.0,74.0,1.0,False
31.0,35.7,75.0,1.1,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.8,35.8,75.0,1.5,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,75.0,1.4,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.3,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.7,35.8,74.0,1.4,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,74.0,1.0,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.7,False
30.8,35.7,74.0,1.3,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.3,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.4,74.0,1.6,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,34.9,75.0,0.9,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.6,35.2,74.0,0.9,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,1.1,False
30.6,35.0,74.0,1.0,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.6,35.5,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,35.0,74.0,1.0,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.6,35.0,74.0,1.4,False
30.5,35.0,74.0,1.4,False
30.5,34.9,73.0,1.2,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.1,36.5,76.0,0.4,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.9,75.0,1.1,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.1,36.3,75.0,1.8,False
31.2,36.4,75.0,1.1,False
31.1,36.0,74.0,1.0,False
31.1,35.9,74.0,1.4,False
31.0,35.8,75.0,1.3,False
30.9,36.1,75.0,1.1,False
30.9,36.1,75.0,1.0,False
30.8,36.4,76.0,1.6,False
30.8,36.4,74.0,1.2,False
30.8,36.0,74.0,1.3,False
30.8,36.0,74.0,1.2,False
30.8,36.1,75.0,2.0,False
30.8,36.1,75.0,1.4,False
30.8,35.9,75.0,1.6,False
30.8,35.9,76.0,0.7,False
30.8,35.7,74.0,1.1,False
30.6,35.8,74.0,1.1,False
30.7,35.8,74.0,0.8,False
30.7,35.8,74.0,1.2,False
30.8,36.1,73.0,1.3,False
30.8,35.5,74.0,0.7,False
30.8,36.0,74.0,1.1,False
30.7,35.8,74.0,1.7,False
30.8,35.7,74.0,1.3,False
30.8,35.5,73.0,1.2,False
30.8,35.5,74.0,1.3,False
30.8,35.5,74.0,1.5,False
30.8,35.3,74.0,1.5,False
30.8,35.4,74.0,1.6,False
30.7,35.5,74.0,1.5,False
30.6,34.9,74.0,0.7,False
30.6,34.9,75.0,0.9,False
30.7,35.2,75.0,1.5,False
30.6,35.2,74.0,1.2,False
30.7,35.3,75.0,1.0,False
30.6,35.1,74.0,1.1,False
30.6,35.0,74.0,0.9,False
30.5,34.9,74.0,1.2,False
30.5,35.2,74.0,1.5,False
30.5,35.3,74.0,1.3,False
30.5,34.9,74.0,1.0,False
30.5,34.9,74.0,0.3,False
30.5,35.0,74.0,0.6,False
30.5,34.4,74.0,1.0,False
30.8,37.3,75.0,0.4,False
30.8,37.4,75.0,0.9,False
30.8,37.4,75.0,0.8,False
31.0,37.2,74.0,1.1,False
31.1,36.6,74.0,1.4,False
31.1,36.8,75.0,1.3,False
31.1,36.5,75.0,1.0,False
31.1,36.5,76.0,0.4,False
31.1,37.0,75.0,0.8,False
31.1,37.0,75.0,0.8,False
31.1,36.9,75.0,1.1,False
31.1,36.8,75.0,1.6,False
31.1,36.3,74.0,1.1,False
31.2,36.3,74.0,1.1,False
31.2,36.4,75.0,1.1,False
