AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
22.7,31.5,53.0,0.8,False
22.7,31.5,52.0,0.8,False
22.6,31.0,53.0,0.4,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.7,34.3,49.0,0.0,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,49.0,1.2,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.1,34.5,48.0,0.8,False
23.2,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
22.9,34.0,49.0,0.4,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.8,32.8,51.0,1.0,False
22.8,32.5,52.0,0.8,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,32.1,51.0,1.2,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.6,31.9,53.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.2,31.0,55.0,1.2,False
22.3,30.7,55.0,0.8,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.7,54.0,1.6,False
22.5,31.5,55.0,1.2,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,55.0,1.6,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.9,31.4,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.6,33.3,49.0,0.5,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.1,34.5,48.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.7,34.3,49.0,0.0,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
22.9,34.0,49.0,0.4,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.8,32.8,51.0,1.0,False
22.8,32.5,52.0,0.8,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.6,32.2,51.0,0.8,False
22.6,32.1,51.0,1.2,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.1,52.0,1.2,False
22.6,31.9,53.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.4,53.0,1.0,False
22.5,31.3,53.0,0.8,False
22.3,31.0,54.0,0.6,False
22.2,31.0,55.0,1.2,False
22.3,30.7,55.0,0.8,False
22.3,30.7,56.0,0.6,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.7,54.0,1.6,False
22.5,31.5,55.0,1.2,False
22.5,31.5,54.0,1.7,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,55.0,1.6,False
22.5,31.1,54.0,1.0,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,0.6,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.9,31.4,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.8,31.3,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.4,32.9,51.0,1.2,False
22.6,33.3,49.0,0.5,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
23.0,34.1,49.0,0.6,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.7,32.8,51.0,1.2,False
22.8,32.8,51.0,1.0,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.4,53.0,1.0,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.3,30.7,55.0,0.8,False
22.3,30.7,56.0,0.6,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.5,55.0,1.2,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.9,31.4,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.4,32.9,51.0,1.2,False
22.6,33.3,49.0,0.5,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
23.0,34.1,49.0,0.6,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.7,32.8,51.0,1.2,False
22.8,32.8,51.0,1.0,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.4,53.0,1.0,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.3,30.7,55.0,0.8,False
22.3,30.7,56.0,0.6,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.5,31.7,54.0,1.6,False
22.5,31.5,55.0,1.2,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.5,31.1,55.0,1.1,False
22.5,31.1,55.0,1.6,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.9,31.4,52.0,0.6,False
22.8,31.3,53.0,0.8,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.2,32.1,51.0,1.2,False
22.4,32.9,51.0,1.2,False
22.6,33.3,49.0,0.5,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,33.6,49.0,1.2,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.5,48.0,0.8,False
23.0,34.1,49.0,0.6,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.7,32.8,51.0,1.2,False
22.8,32.8,51.0,1.0,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.6,31.9,53.0,1.2,False
22.5,31.7,53.0,1.7,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.2,31.0,55.0,1.2,False
22.3,30.7,55.0,0.8,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.5,55.0,1.2,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.9,31.4,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.7,34.3,49.0,0.0,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,50.0,1.3,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
22.9,34.0,49.0,0.4,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.8,32.8,51.0,1.0,False
22.8,32.5,52.0,0.8,False
22.7,32.6,51.0,1.0,False
22.7,32.6,52.0,1.2,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.6,32.2,51.0,0.8,False
22.6,32.1,51.0,1.2,False
22.6,31.5,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.6,31.9,53.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.4,53.0,1.0,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.2,31.0,55.0,1.2,False
22.3,30.7,55.0,0.8,False
22.3,30.7,56.0,0.6,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.4,31.6,55.0,1.2,False
22.5,31.7,54.0,1.6,False
22.5,31.5,55.0,1.2,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,55.0,1.6,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.8,53.0,1.3,False
22.7,31.8,54.0,1.1,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.8,31.3,53.0,0.8,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.7,34.3,49.0,0.0,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,49.0,1.2,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.2,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
22.9,34.0,49.0,0.4,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.8,32.8,51.0,1.0,False
22.8,32.5,52.0,0.8,False
22.7,32.6,51.0,1.0,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,32.1,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.6,31.9,53.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.2,31.0,55.0,1.2,False
22.3,30.7,56.0,0.6,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.7,54.0,1.6,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.1,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.8,31.3,53.0,0.8,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
22.1,32.0,51.0,1.2,False
22.3,32.1,50.0,1.1,False
22.5,33.0,51.0,0.6,False
22.7,34.3,49.0,0.0,False
22.8,34.3,49.0,1.1,False
22.9,33.8,50.0,1.0,False
23.0,33.6,51.0,0.8,False
23.0,33.4,50.0,1.1,False
23.2,33.6,49.0,1.2,False
23.2,34.0,49.0,0.8,False
23.2,34.1,49.0,1.3,False
23.2,34.1,49.0,0.8,False
23.2,34.2,49.0,1.2,False
23.1,34.5,48.0,0.8,False
23.2,34.4,49.0,1.1,False
22.9,34.0,49.0,0.4,False
22.9,32.9,49.0,0.8,False
22.8,32.6,50.0,0.8,False
22.8,32.7,51.0,0.8,False
22.8,32.4,51.0,0.8,False
22.8,32.8,51.0,1.0,False
22.8,32.5,52.0,0.8,False
22.7,32.6,51.0,1.0,False
22.7,32.5,51.0,1.5,False
22.7,32.5,51.0,0.8,False
22.7,32.5,50.0,0.5,False
22.6,32.2,51.0,0.8,False
22.6,32.1,51.0,1.2,False
22.6,31.9,52.0,1.2,False
22.7,32.2,52.0,1.6,False
22.7,32.2,53.0,1.1,False
22.7,32.1,52.0,1.2,False
22.6,31.9,53.0,1.2,False
22.5,31.8,53.0,1.0,False
22.5,31.7,53.0,1.7,False
22.5,31.5,52.0,1.3,False
22.5,31.4,53.0,1.1,False
22.5,31.4,53.0,1.2,False
22.5,31.3,53.0,1.5,False
22.5,31.3,53.0,0.8,False
22.5,31.2,53.0,1.5,False
22.3,31.0,54.0,0.6,False
22.2,31.0,55.0,1.2,False
22.3,30.7,56.0,0.6,False
22.4,30.6,56.0,1.2,False
22.4,31.0,55.0,1.1,False
22.3,31.5,55.0,0.6,False
22.4,31.6,55.0,1.2,False
22.5,31.7,54.0,1.6,False
22.5,31.5,54.0,1.7,False
22.5,31.5,55.0,1.5,False
22.6,31.1,55.0,2.0,False
22.5,31.1,55.0,1.5,False
22.6,31.1,55.0,1.6,False
22.5,31.1,55.0,1.6,False
22.5,31.1,54.0,1.0,False
22.5,31.2,54.0,1.7,False
22.6,31.5,54.0,1.0,False
22.7,31.6,53.0,1.3,False
22.7,31.8,53.0,1.3,False
22.8,31.8,53.0,1.7,False
22.8,32.1,53.0,0.6,False
22.8,32.1,53.0,1.1,False
22.8,32.0,52.0,0.6,False
22.8,32.0,52.0,0.6,False
22.8,31.4,53.0,0.6,False
22.8,31.3,53.0,0.8,False
22.7,31.5,53.0,0.8,False
22.7,31.1,52.0,0.6,False
22.7,31.5,52.0,0.8,False
