AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
20.5,39.3,44.0,0.6,False
20.5,38.9,43.0,0.8,False
20.5,39.1,43.0,1.0,False
20.7,39.1,43.0,1.7,False
20.7,38.8,44.0,1.3,False
20.8,38.9,44.0,0.6,False
20.9,39.1,43.0,0.5,False
20.8,39.1,42.0,0.6,False
20.9,39.1,43.0,1.2,False
21.0,39.1,43.0,1.0,False
21.0,38.9,43.0,1.4,False
21.0,38.6,43.0,0.6,False
20.9,38.6,43.0,0.5,False
21.0,39.1,43.0,1.0,False
21.0,39.0,43.0,0.6,False
21.0,38.7,43.0,1.3,False
21.1,38.7,44.0,1.2,False
21.0,38.8,44.0,1.4,False
21.1,38.9,44.0,0.6,False
21.3,38.9,43.0,0.9,False
21.4,38.9,43.0,1.2,False
21.4,39.1,43.0,0.7,False
21.3,38.9,44.0,2.0,False
21.3,38.9,43.0,1.5,False
21.2,38.4,43.0,1.9,False
21.1,38.4,44.0,0.9,False
21.2,38.7,43.0,0.5,False
21.2,38.5,44.0,0.4,False
21.2,38.6,43.0,0.0,False
21.2,38.5,43.0,0.8,False
21.4,38.2,43.0,0.5,False
21.5,38.4,42.0,1.8,False
21.3,38.0,43.0,1.0,False
21.3,38.2,44.0,1.0,False
21.4,38.5,44.0,1.4,False
21.6,38.0,43.0,0.9,False
21.7,38.0,43.0,1.4,False
21.8,37.9,43.0,1.4,False
21.8,37.9,43.0,1.2,False
21.7,38.1,44.0,1.1,False
21.6,38.2,43.0,0.5,False
21.6,37.6,43.0,2.2,False
21.7,37.9,42.0,1.1,False
21.7,37.9,44.0,1.1,False
21.7,37.9,43.0,0.8,False
21.8,37.9,42.0,0.8,False
21.9,38.1,42.0,1.3,False
21.8,38.0,43.0,0.9,False
21.9,37.7,42.0,1.1,False
21.9,37.2,42.0,1.5,False
21.8,37.2,43.0,1.9,False
21.6,37.4,43.0,1.4,False
20.4,38.8,45.0,1.1,False
20.5,39.0,45.0,1.8,False
20.6,39.3,44.0,0.8,False
20.6,39.3,46.0,2.3,False
20.6,38.9,45.0,1.0,False
20.6,39.3,45.0,0.5,False
20.5,39.3,44.0,0.6,False
20.5,38.9,43.0,0.8,False
20.5,39.1,43.0,1.0,False
20.8,39.0,43.0,1.5,False
20.7,38.8,44.0,1.3,False
20.9,39.1,43.0,0.5,False
20.9,39.1,43.0,1.1,False
20.8,39.1,42.0,0.6,False
20.8,39.2,43.0,0.7,False
21.0,39.1,43.0,1.0,False
21.0,38.9,43.0,1.4,False
21.0,38.6,43.0,0.6,False
21.0,39.1,44.0,0.8,False
21.0,39.1,43.0,1.0,False
21.0,39.0,43.0,0.6,False
21.0,38.6,43.0,1.3,False
21.1,38.7,44.0,1.2,False
21.1,38.9,44.0,0.9,False
21.1,38.9,44.0,0.6,False
21.3,38.9,43.0,0.9,False
21.5,38.9,43.0,1.1,False
21.4,39.1,43.0,0.7,False
21.3,38.9,44.0,2.0,False
21.2,38.8,42.0,0.7,False
21.2,38.4,43.0,1.9,False
21.2,38.7,43.0,0.5,False
21.2,38.6,43.0,1.8,False
21.2,38.5,44.0,0.4,False
21.2,38.5,43.0,0.8,False
21.3,38.2,43.0,1.0,False
21.4,38.2,43.0,0.5,False
21.4,38.2,43.0,1.1,False
21.3,38.0,43.0,1.0,False
21.4,38.5,44.0,1.4,False
21.5,38.5,43.0,1.5,False
21.6,38.0,43.0,0.9,False
21.8,38.0,43.0,0.7,False
21.8,37.9,43.0,1.4,False
21.8,37.9,43.0,1.2,False
21.6,38.2,43.0,0.3,False
21.6,38.2,43.0,0.5,False
21.7,37.9,42.0,1.1,False
21.6,37.9,42.0,0.9,False
21.7,37.9,44.0,1.1,False
21.8,37.9,42.0,0.8,False
21.8,37.9,43.0,0.6,False
21.8,38.0,43.0,0.9,False
21.9,37.7,42.0,1.1,False
22.0,37.5,42.0,1.5,False
21.8,37.2,43.0,1.9,False
21.6,37.4,43.0,1.4,False
20.4,38.8,45.0,1.1,False
20.5,39.0,45.0,1.8,False
20.6,39.3,44.0,0.8,False
20.6,39.3,46.0,2.3,False
20.6,38.9,45.0,1.0,False
20.6,39.3,45.0,0.5,False
20.5,39.3,44.0,0.6,False
20.5,38.9,43.0,0.8,False
20.7,39.1,43.0,1.7,False
20.8,39.0,43.0,1.5,False
20.8,38.9,44.0,0.6,False
20.9,39.1,43.0,0.5,False
20.8,39.1,42.0,0.6,False
20.9,39.1,43.0,1.2,False
20.8,39.2,43.0,0.7,False
21.0,38.9,43.0,1.4,False
21.0,38.8,43.0,1.4,False
20.9,38.6,43.0,0.5,False
21.0,39.1,44.0,0.8,False
21.0,39.0,43.0,0.6,False
21.0,38.7,43.0,1.3,False
21.0,38.6,43.0,1.3,False
21.0,38.8,44.0,1.4,False
21.1,38.9,44.0,0.9,False
21.3,38.9,43.0,0.9,False
21.4,38.9,43.0,1.2,False
21.5,38.9,43.0,1.1,False
21.3,38.9,44.0,2.0,False
21.3,38.9,43.0,1.5,False
21.2,38.8,42.0,0.7,False
21.1,38.4,44.0,0.9,False
21.2,38.7,43.0,0.5,False
21.2,38.5,44.0,0.4,False
21.2,38.6,43.0,0.0,False
21.2,38.5,43.0,0.8,False
21.4,38.2,43.0,0.5,False
21.5,38.4,42.0,1.8,False
21.3,38.0,43.0,1.0,False
21.3,38.2,44.0,1.0,False
21.5,38.5,43.0,1.5,False
21.6,38.0,43.0,0.9,False
21.7,38.0,43.0,1.4,False
21.8,37.9,43.0,1.4,False
21.8,37.9,43.0,1.2,False
21.6,38.2,43.0,0.3,False
21.6,38.2,43.0,0.5,False
21.6,37.6,43.0,2.2,False
21.6,37.9,42.0,0.9,False
21.7,37.9,44.0,1.1,False
21.7,37.9,43.0,0.8,False
21.8,37.9,43.0,0.6,False
21.9,38.1,42.0,1.3,False
21.8,38.0,43.0,0.9,False
22.0,37.5,42.0,1.5,False
21.9,37.2,42.0,1.5,False
21.6,37.4,43.0,1.4,False
21.6,37.4,43.0,1.3,False
20.4,38.8,45.0,1.1,False
20.5,39.0,45.0,1.8,False
20.6,39.3,44.0,0.8,False
20.6,39.3,46.0,2.3,False
20.7,39.1,45.0,1.6,False
20.6,39.3,45.0,0.5,False
20.5,39.3,44.0,0.6,False
20.5,38.9,43.0,0.8,False
20.5,39.1,43.0,1.0,False
20.8,39.0,43.0,1.5,False
20.7,38.8,44.0,1.3,False
20.8,38.9,44.0,0.6,False
20.9,39.1,43.0,1.1,False
20.8,39.1,42.0,0.6,False
20.8,39.2,43.0,0.7,False
21.0,39.1,43.0,1.0,False
21.0,38.9,43.0,1.4,False
21.0,38.6,43.0,0.6,False
20.9,38.6,43.0,0.5,False
21.0,39.1,43.0,1.0,False
21.0,39.0,43.0,0.6,False
21.0,38.6,43.0,1.3,False
21.1,38.7,44.0,1.2,False
21.0,38.8,44.0,1.4,False
21.1,38.9,44.0,0.6,False
21.3,38.9,43.0,0.9,False
21.4,38.9,43.0,1.2,False
21.4,39.1,43.0,0.7,False
21.3,38.9,44.0,2.0,False
21.3,38.9,43.0,1.5,False
21.2,38.4,43.0,1.9,False
21.1,38.4,44.0,0.9,False
21.2,38.6,43.0,1.8,False
21.2,38.5,44.0,0.4,False
21.2,38.6,43.0,0.0,False
21.3,38.2,43.0,1.0,False
21.4,38.2,43.0,0.5,False
21.5,38.4,42.0,1.8,False
21.3,38.0,43.0,1.0,False
21.3,38.2,44.0,1.0,False
21.5,38.5,43.0,1.5,False
21.6,38.0,43.0,0.9,False
21.8,38.0,43.0,0.7,False
21.8,37.9,43.0,1.4,False
21.8,37.9,43.0,1.2,False
21.6,38.2,43.0,0.3,False
21.6,38.2,43.0,0.5,False
21.6,37.6,43.0,2.2,False
21.6,37.9,42.0,0.9,False
21.7,37.9,44.0,1.1,False
21.7,37.9,43.0,0.8,False
21.8,37.9,43.0,0.6,False
21.9,38.1,42.0,1.3,False
21.8,38.0,43.0,0.9,False
22.0,37.5,42.0,1.5,False
21.9,37.2,42.0,1.5,False
21.8,37.2,43.0,1.9,False
21.6,37.4,43.0,1.3,False
